"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","K","Si","Ca","Ti","Mn","Fe","Ni","Cu","Br","Rb","Sr","Mo_inc","Mo_coh","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER44L","HER44L_2B","HER44L_2B_776",49.75,9743.68,7.41,1,21700,80106,1.56,-0.878704175950061,-2.24952861529782,0.536673167694809,-0.0601318665818476,-0.683108087947411,3.52657452093801,-2.874853199519,-1.97509176959606,0.154725979408843,-1.31240379652082,0.775166132158708,3.20320255435225,1.83747915686043,3.91898659596406,0.255168007216417,-0.819819163633575,-1.41706601978664,-0.597246856153069
"HER44L","HER44L_2B","HER44L_2B_777",49.8,9746.56,7.41,1,22490,84499,1.46,-0.778311049472836,-2.8618425764042,0.585278517953297,-0.293117254733125,-0.648357478196197,3.6251924803963,-2.21054250577975,-2.50680832192292,-0.0669631642660445,-0.822113672131229,0.850529250108015,3.24510728665568,1.88194848779303,3.90893519840137,0.25582414372307,-0.48597962517946,-1.36511041213987,-0.879130786960414
"HER44L","HER44L_2B","HER44L_2B_778",49.85,9749.43,7.41,1,23286,88271,1.62,-0.68176409006964,-2.38807835334081,0.602034713726579,-0.38589962246292,-0.593449441684803,3.51951252225595,-2.40547009605268,-2.09181253719764,-0.172818166105227,-0.850099404888855,0.683177146579682,3.06967128733012,1.69499604191025,3.95422177009156,0.252894262927708,-0.296265816143172,-1.28493141748421,-0.988665601341042
"HER44L","HER44L_2B","HER44L_2B_779",49.9,9752.3,7.41,1,22631,81701,1.58,-0.736880651059143,-2.31038655426718,0.662538582970332,-0.357498009830404,-0.645643796642454,3.60454627129853,-2.94637532098718,-1.70425075069686,0.00389457849005674,-1.51925896534703,0.771703287819022,3.28257389470567,1.89503743354664,4.00541093887102,0.249662273175362,-0.380025441253704,-1.40095219241827,-1.02092675116457
"HER44L","HER44L_2B","HER44L_2B_780",49.95,9755.17,7.41,1,22070,78843,1.51,-0.894826313741176,-2.27207083934115,0.757758162035615,-0.0668701479349209,-0.757042611378123,3.47384448200478,-2.90406359674776,-2.21091641618782,0.0332133106220617,-1.04935585320547,0.794094709261762,3.22517122756183,1.87106388705038,3.87371281464531,0.258150267675835,-0.829237937584513,-1.65442434436429,-0.825186406779773
"HER44L","HER44L_2B","HER44L_2B_781",50,9758.04,7.41,1,22664,84295,1.62,-0.621927063703342,-2.47054939482594,0.698152329951725,0.00276550679827467,-0.566538314554731,3.57636998819721,-3.30027211039164,-2.36945327795457,-0.215903764121014,-0.579297658308491,0.800555456708542,3.19237414609348,1.8537241561105,3.81428772720868,0.262172146287403,-0.62547175342188,-1.3213083125638,-0.695836559141917
"HER44L","HER44L_2B","HER44L_2B_782",50.05,9760.91,7.41,1,22914,83264,1.56,-0.941072276364174,-2.77142904509037,0.69777306568584,-0.142341887794965,-0.683344407254517,3.47262997488929,-2.06448854239809,-1.90643160760377,-0.0934562992254412,-1.42769429838928,0.827024116933864,3.20787857174698,1.82495263486464,3.98696748878924,0.250817194474711,-0.799957537546853,-1.6406423778594,-0.840684840312542
"HER44L","HER44L_2B","HER44L_2B_783",50.1,9763.78,7.41,1,23364,85491,1.51,-0.96503615183718,-2.378500418309,0.618925335751325,-0.498905994187242,-0.603835382440244,3.37614164087702,-2.04323956887408,-1.78320902775281,-0.0524636642799033,-1.32023942516446,0.750339429257534,3.13997299054145,1.7600502364176,3.97499662116502,0.251572540886063,-0.466899643308144,-1.58560237047028,-1.11870272716213
"HER44L","HER44L_2B","HER44L_2B_784",50.15,9766.65,7.4,1,24003,90121,1.59,-1.08748917698732,-2.37124389879103,0.550184816338772,-0.46107384446648,-0.521855316726338,3.48557483350185,-2.73520927599244,-1.68234300911254,0.162587423203461,-1.01505933914251,0.689688753095916,3.17310560770347,1.81313242737521,3.89646269042086,0.25664303227089,-0.627510016919966,-1.63956765388613,-1.01205763696616
"HER44L","HER44L_2B","HER44L_2B_785",50.2,9769.53,7.4,1,24774,94818,1.64,-0.899183537484048,-2.52996076595314,0.552578615362926,-0.27454949705141,-0.507245205674085,3.6056465654469,-2.3029033153178,-1.9901476053139,-0.0144805361362562,-1.04568599647305,0.519683918126948,3.15325212070103,1.73299523976589,4.13861659533343,0.241626634641046,-0.625526992884966,-1.453233843795,-0.827706850910034
