"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","Si","S","Cl","K","Ca","Ti","V","Mn","Fe","Ni","Cu","Zn","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER44L","HER44L_2A","HER44L_2A_77",4.95,668.4,6.53,1,27925,82933,1.49,8,20,75,165,830,383,35,334,22220,163,270,118,2732,154,886,45299,7980,53279,5.6765664160401,0.176162829201528,-0.842089515280065,-1.61548022689006,-0.773390711609998
"HER44L","HER44L_2A","HER44L_2A_78",5,670.05,6.53,1,27524,80537,1.46,14,50,52,150,849,340,8,333,20558,148,193,217,2573,6,1073,44768,7750,52518,5.77651612903226,0.173114724803431,-0.818310323513951,-1.73342389221509,-0.91511356870114
"HER44L","HER44L_2A","HER44L_2A_79",5.05,671.7,6.54,1,27493,81280,1.65,NA,39,75,162,758,312,50,316,20927,159,218,126,2741,152,1023,44718,7948,52666,5.62632108706593,0.177736034706382,-0.655406852577098,-1.54308705040999,-0.887680197832889
"HER44L","HER44L_2A","HER44L_2A_80",5.1,673.35,6.54,1,27691,83044,1.32,28,57,70,181,864,344,30,338,23744,182,200,98,2840,139,905,43677,7680,51357,5.687109375,0.175836252489869,-0.642144626107573,-1.56307573753823,-0.920931111430657
"HER44L","HER44L_2A","HER44L_2A_81",5.15,675,6.54,1,27667,83186,1.35,20,67,85,185,930,356,36,368,23438,105,172,172,2629,266,1172,43471,7988,51459,5.44203805708563,0.183754687032734,-0.654574905773706,-1.61482876106898,-0.960253855295271
"HER44L","HER44L_2A","HER44L_2A_82",5.2,676.65,6.53,1,27922,85700,1.34,34,40,78,184,1041,429,39,472,25534,173,237,223,2762,102,1218,43301,7802,51103,5.54998718277365,0.180180596291079,-0.846521161319031,-1.73300131100598,-0.886480149686952
"HER44L","HER44L_2A","HER44L_2A_83",5.25,678.3,6.53,1,27129,83590,1.33,38,55,90,180,1217,497,21,371,25382,83,177,191,2626,71,1435,41652,7579,49231,5.49571183533448,0.181960049937578,-1.01563317520642,-1.91118724209732,-0.895554066890898
"HER44L","HER44L_2A","HER44L_2A_84",5.3,679.95,6.52,1,26199,77784,1.47,23,37,59,187,886,408,8,321,21470,87,110,78,2507,127,1078,41358,7349,48707,5.62770444958498,0.177692344890952,-0.780158557549575,-1.55560833375049,-0.775449776200919
"HER44L","HER44L_2A","HER44L_2A_85",5.35,681.6,6.51,1,26943,81377,1.36,43,27,42,197,940,402,27,350,24260,154,172,138,2517,130,1267,41497,7400,48897,5.6077027027027,0.178326144058607,-0.713248359881033,-1.56267614652606,-0.849427786645028
"HER44L","HER44L_2A","HER44L_2A_86",5.4,683.25,6.5,1,27137,83555,1.39,21,24,40,211,1018,479,46,408,26241,170,142,144,2476,189,1446,41214,7562,48776,5.45014546416292,0.183481341291794,-0.819842463934849,-1.5737370636344,-0.753894599699553
"HER44L","HER44L_2A","HER44L_2A_87",5.45,684.9,6.49,1,26879,81916,1.32,11,49,72,190,1026,436,14,413,24640,105,150,139,2334,253,1300,41649,7788,49437,5.34784283513097,0.186991284304545,-0.830618171188548,-1.68639895357023,-0.855780782381681
"HER44L","HER44L_2A","HER44L_2A_88",5.5,686.55,6.48,1,27366,85674,1.46,28,44,77,260,1084,552,24,468,29572,90,312,200,2537,95,1289,39870,7455,47325,5.34808853118712,0.186982693754703,-0.752866415261568,-1.42773155098406,-0.674865135722496
"HER44L","HER44L_2A","HER44L_2A_89",5.55,688.2,6.48,1,26360,85182,1.52,4,16,84,257,1320,567,58,450,30650,107,183,170,2123,246,1628,38297,7133,45430,5.36898920510304,0.186254798025955,-0.791283218832532,-1.6363109306852,-0.845027711852664
"HER44L","HER44L_2A","HER44L_2A_90",5.6,689.85,6.48,1,24948,81091,1.39,41,26,82,210,1205,631,6,419,29900,120,182,214,1863,212,1533,35934,7072,43006,5.08116515837104,0.196805254076919,-1.10019833182374,-1.74712731520729,-0.646928983383542
"HER44L","HER44L_2A","HER44L_2A_91",5.65,691.5,6.47,1,24086,75940,1.56,33,31,79,186,991,532,24,413,25430,126,148,145,1613,67,1683,35385,7226,42611,4.89690008303349,0.204210823795394,-1.05089681562844,-1.67296786061679,-0.622071044988344
"HER44L","HER44L_2A","HER44L_2A_92",5.7,693.15,6.45,1,24741,78173,1.38,38,40,64,223,1048,631,5,457,25512,116,206,174,1730,368,1938,36744,7267,44011,5.05628182193477,0.197773786196386,-1.04013409108109,-1.54746709342087,-0.507333002339774
"HER44L","HER44L_2A","HER44L_2A_93",5.75,694.8,6.45,1,24975,77112,1.28,22,22,71,165,1036,391,60,386,24013,89,129,153,1868,170,1813,37881,7560,45441,5.01071428571429,0.199572344975053,-0.862762086084785,-1.83717694891885,-0.974414862834063
"HER44L","HER44L_2A","HER44L_2A_94",5.8,696.45,6.45,1,26700,88949,1.37,21,38,58,241,1464,456,51,533,34236,141,206,229,2029,180,1680,38186,7563,45749,5.0490546079598,0.198056879484628,-0.637695876023731,-1.8041307610306,-1.16643488500687
"HER44L","HER44L_2A","HER44L_2A_95",5.85,698.1,6.45,1,26033,85671,1.5,26,51,94,245,1708,531,60,542,32495,119,194,230,1670,217,1843,36747,7209,43956,5.09737827715356,0.19617927994122,-0.773503810697212,-1.94182016380379,-1.16831635310658
"HER44L","HER44L_2A","HER44L_2A_96",5.9,699.75,6.45,1,23990,77280,1.44,45,50,74,245,1274,377,53,444,26783,154,209,146,1603,125,1816,35138,7151,42289,4.91371836106838,0.203511867493881,-0.430986976903284,-1.64865862558738,-1.2176716486841
"HER44L","HER44L_2A","HER44L_2A_97",5.95,701.4,6.46,1,22945,73300,1.42,29,21,31,169,1358,467,59,389,24132,97,100,121,1443,171,1685,34355,6805,41160,5.04849375459221,0.198078882258769,-1.01643054274582,-2.08386959319557,-1.06743905044974
"HER44L","HER44L_2A","HER44L_2A_98",6,703.05,6.47,1,22562,71826,1.48,42,38,63,182,1077,387,87,352,22958,141,138,70,1349,87,1725,34578,6997,41575,4.94183221380592,0.202354097981375,-0.754418005952986,-1.77792799007959,-1.02350998412661
