"Site","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","Ca","Fe","Cu","Br","Sr","Zr","Mo_inc","Mo_coh"
"HER14L","HER14L_2B_61",46.5,1641.98,7.32,1,33078,78853,1.34,58,273,1090,207,3294,549,1371,61666,9259
"HER14L","HER14L_2B_62",46.6,1642.84,7.32,1,33181,79162,1.54,42,283,1164,77,3218,366,1484,62394,9362
"HER14L","HER14L_2B_63",46.7,1643.7,7.32,1,33236,79744,1.28,45,342,1564,143,3338,404,1144,62022,9553
"HER14L","HER14L_2B_64",46.8,1644.56,7.32,1,33217,78187,1.45,34,332,1566,192,2996,540,1130,61429,9246
"HER14L","HER14L_2B_65",46.9,1645.42,7.32,1,33256,79701,1.44,46,395,1563,181,3304,765,930,61905,9257
"HER14L","HER14L_2B_66",47,1646.28,7.32,1,33159,79492,1.29,29,351,1435,113,3327,687,1081,62145,9155
"HER14L","HER14L_2B_67",47.1,1647.14,7.33,1,33040,79613,1.61,79,400,1136,76,3396,583,1221,61876,9272
"HER14L","HER14L_2B_68",47.2,1648.01,7.33,1,33175,80713,1.35,60,440,1137,76,3408,744,1285,62606,9465
"HER14L","HER14L_2B_69",47.3,1648.87,7.33,1,33164,79421,1.31,56,412,1176,114,2994,806,1425,61626,9501
"HER14L","HER14L_2B_70",47.4,1649.73,7.33,1,33113,79226,1.36,33,455,1105,103,3272,693,1279,61618,9434
"HER14L","HER14L_2B_71",47.5,1650.59,7.33,1,33105,79813,1.3,67,409,1614,87,3029,714,1407,61829,9334
"HER14L","HER14L_2B_72",47.6,1651.45,7.33,1,33203,80881,1.48,39,397,2316,61,3161,613,1131,62899,9446
"HER14L","HER14L_2B_73",47.7,1652.31,7.33,1,33211,82037,1.27,20,423,2321,192,3323,596,1263,63112,9492
"HER14L","HER14L_2B_74",47.8,1653.17,7.33,1,33203,80478,1.23,65,442,1633,177,3124,707,1459,62054,9514
"HER14L","HER14L_2B_75",47.9,1654.03,7.34,1,33129,80304,1.43,53,362,1706,71,3089,531,1521,62280,9473
"HER14L","HER14L_2B_76",48,1654.89,7.34,1,33089,80170,1.54,68,369,1462,112,3370,602,1264,62227,9661
"HER14L","HER14L_2B_77",48.1,1655.75,7.34,1,33024,79344,1.36,40,388,1223,0,3289,511,1393,61792,9666
"HER14L","HER14L_2B_78",48.2,1656.62,7.35,1,32985,79894,1.28,23,383,1163,172,3416,679,1632,61776,9518
"HER14L","HER14L_2B_79",48.3,1657.48,7.35,1,32967,79529,1.37,46,372,1142,39,3497,628,1351,61593,9705
"HER14L","HER14L_2B_80",48.4,1658.34,7.35,1,33016,79448,1.29,38,384,1215,95,3321,584,1469,61843,9292
"HER14L","HER14L_2B_81",48.5,1659.2,7.36,1,33032,79868,1.39,76,402,1154,192,3424,767,1023,62219,9142
"HER14L","HER14L_2B_82",48.6,1660.06,7.36,1,33083,79235,1.34,48,391,1115,43,3135,638,1325,62038,9329
"HER14L","HER14L_2B_83",48.7,1660.92,7.36,1,33155,79057,1.41,72,430,937,128,3208,642,1425,61846,9425
"HER14L","HER14L_2B_84",48.8,1661.78,7.35,1,33237,79234,1.35,67,424,930,145,3150,291,1580,62042,9295
"HER14L","HER14L_2B_85",48.9,1662.64,7.35,1,33179,78498,1.31,32,377,895,24,3135,709,1237,62071,9156
"HER14L","HER14L_2B_86",49,1663.5,7.36,1,33200,78950,1.25,62,392,1001,91,3213,519,1467,61793,9229
"HER14L","HER14L_2B_87",49.1,1664.36,7.36,1,33194,78538,1.29,65,364,1075,154,3103,457,1440,61641,9567
"HER14L","HER14L_2B_88",49.2,1665.23,7.35,1,33420,79876,1.32,67,410,990,126,3168,625,1454,62452,9393
"HER14L","HER14L_2B_89",49.3,1666.09,7.35,1,33340,81001,1.31,58,381,1021,157,3487,530,1247,63080,9836
"HER14L","HER14L_2B_90",49.4,1666.95,7.34,1,33216,80251,1.27,48,368,1080,111,3311,677,1360,62595,9108
"HER14L","HER14L_2B_91",49.5,1667.81,7.35,1,33549,80904,1.31,61,420,1014,38,3281,688,1495,63083,9427
"HER14L","HER14L_2B_92",49.6,1668.67,7.35,1,33551,79982,1.38,60,425,882,115,3231,394,1540,62828,9665
"HER14L","HER14L_2B_93",49.7,1669.53,7.34,1,33560,79858,1.43,51,385,1080,176,3189,639,1253,63191,9106
"HER14L","HER14L_2B_94",49.8,1670.39,7.34,1,33240,79324,1.54,40,313,1239,115,3042,320,1348,62450,9504
"HER14L","HER14L_2B_95",49.9,1671.25,7.34,1,33192,79743,1.53,60,281,1181,84,3089,513,1457,62405,9468
"HER14L","HER14L_2B_96",50,1671.63,7.33,1,33227,78745,1.43,49,302,1606,57,3289,326,1191,61892,8969
"HER14L","HER14L_2B_97",50.1,1672,7.33,1,33460,81000,1.37,53,346,1368,103,2994,633,1395,63539,9388
"HER14L","HER14L_2B_98",50.2,1672.37,7.33,1,33315,79634,1.54,60,342,1204,86,2685,479,1155,62720,9557
"HER14L","HER14L_2B_99",50.3,1672.75,7.33,1,33272,79478,1.47,44,320,1246,57,2838,366,1476,63045,9287
"HER14L","HER14L_2B_100",50.4,1673.12,7.33,1,33401,79303,1.5,48,336,1330,0,2648,251,1285,62635,9445
"HER14L","HER14L_2B_101",50.5,1673.49,7.32,1,33313,80053,1.49,67,280,1547,42,2876,412,1225,62913,9460
"HER14L","HER14L_2B_102",50.6,1673.87,7.31,1,33460,80704,1.57,44,334,1610,136,3043,388,1263,63112,9695
"HER14L","HER14L_2B_103",50.7,1674.24,7.31,1,33211,80721,1.29,22,266,1195,117,3135,699,1605,62983,9610
"HER14L","HER14L_2B_104",50.8,1674.61,7.32,1,33279,79928,1.26,62,330,1040,73,2893,390,1250,63024,9581
"HER14L","HER14L_2B_105",50.9,1674.99,7.32,1,33007,79231,1.27,55,262,1077,67,2712,460,1291,62740,9510
"HER14L","HER14L_2B_106",51,1675.36,7.32,1,32933,79465,1.54,56,247,932,41,2800,386,1455,62884,9665
"HER14L","HER14L_2B_107",51.1,1675.73,7.32,1,33156,79648,1.55,68,280,1011,109,2957,389,1330,62618,9715
"HER14L","HER14L_2B_108",51.2,1676.11,7.32,1,33294,80731,1.46,72,245,1134,107,2892,487,1590,63620,9689
"HER14L","HER14L_2B_109",51.3,1676.48,7.32,1,33431,79470,1.5,43,294,998,96,2853,232,1124,63236,9713
"HER14L","HER14L_2B_110",51.4,1676.86,7.31,1,33237,80086,1.51,78,286,998,105,2651,343,1255,63723,9382
"HER14L","HER14L_2B_111",51.5,1677.23,7.31,1,33360,79631,1.45,39,261,967,97,2798,355,1414,63177,9619
"HER14L","HER14L_2B_112",51.6,1677.6,7.31,1,33404,79552,1.55,50,408,833,78,2904,486,1318,63145,9318
"HER14L","HER14L_2B_113",51.7,1677.98,7.32,1,33340,79460,1.48,32,289,874,27,2949,447,1153,62798,9644
"HER14L","HER14L_2B_114",51.8,1678.35,7.32,1,33050,79419,1.46,38,287,768,122,2957,517,1245,62821,9697
"HER14L","HER14L_2B_115",51.9,1678.72,7.32,1,33197,79649,1.42,36,223,738,197,2953,660,1261,63221,9342
"HER14L","HER14L_2B_116",52,1679.1,7.32,1,33175,78956,1.57,26,237,696,161,2547,399,1442,63194,9279
"HER14L","HER14L_2B_117",52.1,1679.47,7.32,1,33329,79133,1.48,64,269,721,77,2574,300,1401,63342,9574
"HER14L","HER14L_2B_118",52.2,1679.84,7.31,1,33181,79259,1.43,53,230,710,26,2602,481,1231,63319,9437
"HER14L","HER14L_2B_119",52.3,1680.22,7.32,1,33440,79816,1.43,46,304,761,148,2729,561,1350,63366,9564
"HER14L","HER14L_2B_120",52.4,1680.59,7.31,1,33260,79542,1.67,33,296,847,170,2812,561,1260,63067,9534
"HER14L","HER14L_2B_121",52.5,1680.96,7.3,1,33006,79448,1.42,59,324,751,87,2806,434,1293,63110,9683
"HER14L","HER14L_2B_122",52.6,1681.34,7.3,1,33242,80286,1.5,30,273,897,114,2776,675,1317,63540,9793
"HER14L","HER14L_2B_123",52.7,1681.71,7.3,1,33213,79576,1.7,47,305,1048,78,2953,442,1469,63016,9530
"HER14L","HER14L_2B_124",52.8,1682.08,7.3,1,33167,80429,1.49,29,319,968,146,2949,613,1500,63110,9660
"HER14L","HER14L_2B_125",52.9,1682.46,7.3,1,33085,79428,1.32,43,242,887,128,2820,381,1534,62583,9628
"HER14L","HER14L_2B_126",53,1682.83,7.31,1,33188,79237,1.34,45,281,1080,70,2774,345,1252,62314,9992
"HER14L","HER14L_2B_127",53.1,1683.2,7.3,1,33177,79305,1.5,51,310,1089,14,2874,438,1354,62868,9410
"HER14L","HER14L_2B_128",53.2,1683.58,7.31,1,33076,80383,1.37,46,271,1293,116,2900,455,1424,62999,9787
"HER14L","HER14L_2B_129",53.3,1683.95,7.32,1,33039,79619,1.58,33,221,1085,0,2887,792,1382,63119,9386
"HER14L","HER14L_2B_130",53.4,1684.32,7.32,1,33290,78906,1.36,22,263,994,0,2638,603,1266,62811,9487
"HER14L","HER14L_2B_131",53.5,1684.7,7.32,1,32806,78954,1.26,56,380,1072,99,2626,566,1339,62245,9718
"HER14L","HER14L_2B_132",53.6,1685.07,7.3,1,33248,80694,1.44,52,366,1567,60,2675,557,1401,63348,9516
"HER14L","HER14L_2B_133",53.7,1685.45,7.29,1,33387,80417,1.43,52,339,1874,91,2681,647,1360,62941,9274
"HER14L","HER14L_2B_134",53.8,1685.82,7.29,1,33108,79904,1.53,18,310,1571,83,2587,672,1440,62841,9402
"HER14L","HER14L_2B_135",53.9,1686.19,7.31,1,33143,79265,1.55,48,248,917,113,2233,588,1273,63356,9608
"HER14L","HER14L_2B_136",54,1686.57,7.34,1,33579,77404,1.47,74,394,934,84,2114,459,1205,61746,9335
"HER14L","HER14L_2B_137",54.1,1686.94,7.35,1,32696,77634,1.34,58,331,1217,37,2322,600,1311,61217,9193
"HER14L","HER14L_2B_138",54.2,1687.31,7.34,1,32028,76105,1.55,56,360,957,0,2312,689,1337,60039,9011
"HER14L","HER14L_2B_139",54.3,1687.69,7.33,1,32422,77166,1.37,51,243,1271,53,2279,508,1263,61385,8935
"HER14L","HER14L_2B_140",54.4,1688.06,7.32,1,33369,78748,1.54,42,283,1234,109,2406,386,1313,62842,9171
"HER14L","HER14L_2B_141",54.5,1688.43,7.32,1,33403,78061,1.53,32,255,992,105,2639,437,1339,62018,9123
"HER14L","HER14L_2B_142",54.6,1688.81,7.32,1,33519,79075,1.65,64,309,1038,72,2731,415,1329,62774,9338
"HER14L","HER14L_2B_143",54.7,1689.18,7.3,1,33609,79776,1.44,49,366,1242,168,2633,611,1296,62909,9267
"HER14L","HER14L_2B_144",54.8,1689.55,7.31,1,33614,80314,1.36,52,345,1106,159,2761,741,1328,63180,9425
"HER14L","HER14L_2B_145",54.9,1689.93,7.31,1,33505,80859,1.35,33,395,1124,100,3063,594,1377,63171,9864
"HER14L","HER14L_2B_146",55,1690.3,7.3,1,33575,79635,1.41,34,317,1065,105,2891,524,1500,62837,9283
"HER14L","HER14L_2B_147",55.1,1690.67,7.31,1,32997,79655,1.45,92,419,1199,39,3028,643,1337,62228,9431
"HER14L","HER14L_2B_148",55.2,1691.05,7.3,1,32756,79087,1.49,38,282,899,107,2958,745,1409,62399,9506
"HER14L","HER14L_2B_149",55.3,1691.42,7.3,1,33076,80216,1.39,21,341,1826,159,2494,456,1271,63127,9543
"HER14L","HER14L_2B_150",55.4,1691.79,7.31,1,33458,81520,1.44,49,259,2246,144,2726,386,1363,63235,9763
"HER14L","HER14L_2B_151",55.5,1692.17,7.31,1,33021,80222,1.55,50,218,2465,33,2743,378,1442,62940,9271
"HER14L","HER14L_2B_152",55.6,1692.54,7.32,1,33318,80838,1.47,37,205,2369,50,2725,399,1405,63312,9764
"HER14L","HER14L_2B_153",55.7,1692.92,7.32,1,33362,81121,1.4,31,279,2776,122,2891,370,1203,63003,9327
"HER14L","HER14L_2B_154",55.8,1693.29,7.32,1,33357,80308,1.52,45,323,2140,177,2751,343,1345,62677,9591
"HER14L","HER14L_2B_155",55.9,1693.66,7.32,1,33281,79577,1.64,50,300,1755,60,2637,431,1221,62631,9477
"HER14L","HER14L_2B_156",56,1694.04,7.31,1,33250,80573,1.8,59,301,1770,101,2717,291,1511,63042,9394
"HER14L","HER14L_2B_157",56.1,1694.41,7.32,1,33059,80386,1.66,38,271,2321,111,2885,593,1389,62285,9300
"HER14L","HER14L_2B_158",56.2,1694.78,7.32,1,33136,80462,1.56,48,319,1923,181,2808,468,1515,62673,9515
"HER14L","HER14L_2B_159",56.3,1695.16,7.31,1,33114,80284,1.4,57,266,2130,45,3016,353,1350,62078,9478
"HER14L","HER14L_2B_160",56.4,1695.53,7.31,1,33214,79756,1.35,13,278,2777,122,2864,576,1220,61798,9122
"HER14L","HER14L_2B_161",56.5,1695.9,7.31,1,33342,81114,1.35,56,281,2376,94,2842,283,1491,62613,9803
"HER14L","HER14L_2B_162",56.6,1696.28,7.31,1,33476,81689,1.41,42,284,2038,121,3102,318,1322,63067,9660
"HER14L","HER14L_2B_163",56.7,1696.65,7.31,1,33182,78399,1.51,51,251,1918,6,2666,264,1281,61839,9233
"HER14L","HER14L_2B_164",56.8,1697.02,7.3,1,33072,79961,1.29,39,256,2099,98,2774,220,1335,62211,9290
"HER14L","HER14L_2B_165",56.9,1697.4,7.31,1,32848,78562,1.34,27,277,1943,67,2539,405,1414,61984,9062
"HER14L","HER14L_2B_166",57,1697.77,7.31,1,33040,79793,1.42,44,244,2287,115,3243,640,1192,61762,9376
"HER14L","HER14L_2B_167",57.1,1698.14,7.31,1,32899,80144,1.31,32,300,1763,106,2903,523,1452,62663,9522
"HER14L","HER14L_2B_168",57.2,1698.52,7.31,1,32879,79156,1.4,43,283,1566,60,3121,384,1255,62007,9524
"HER14L","HER14L_2B_169",57.3,1698.89,7.32,1,32939,80864,1.37,43,291,2160,83,2986,538,1442,62706,9728
"HER14L","HER14L_2B_170",57.4,1699.26,7.32,1,33186,80926,1.38,46,305,2491,34,3034,505,1440,62987,9467
"HER14L","HER14L_2B_171",57.5,1699.64,7.33,1,33223,81452,1.35,58,315,2535,122,2922,606,1294,62643,9643
"HER14L","HER14L_2B_172",57.6,1700.01,7.33,1,33263,80446,1.36,31,293,2426,79,2866,503,1162,62626,9605
"HER14L","HER14L_2B_173",57.7,1700.39,7.33,1,33179,81549,1.56,57,332,2465,116,2963,505,1124,62909,9527
"HER14L","HER14L_2B_174",57.8,1700.76,7.33,1,33215,80982,1.53,26,320,2636,124,2995,643,1128,62535,9429
"HER14L","HER14L_2B_175",57.9,1701.13,7.33,1,33248,80893,1.32,53,301,2712,85,3030,716,1331,62298,9433
"HER14L","HER14L_2B_176",58,1701.51,7.32,1,33256,81380,1.33,38,320,2489,73,2935,412,1284,62873,9732
"HER14L","HER14L_2B_177",58.1,1701.88,7.32,1,33320,82504,1.39,28,303,3062,113,2904,659,1309,62972,9756
"HER14L","HER14L_2B_178",58.2,1702.25,7.33,1,33584,82986,1.43,48,335,3135,102,3083,546,1343,63278,9632
"HER14L","HER14L_2B_179",58.3,1702.63,7.33,1,33422,81916,1.44,36,346,3104,143,3196,524,1373,62659,9532
"HER14L","HER14L_2B_180",58.4,1703,7.33,1,33522,81562,1.64,63,321,3555,96,2901,313,1514,62383,9328
"HER14L","HER14L_2B_181",58.5,1703.37,7.32,1,33462,82912,1.33,54,296,4701,151,2530,507,1343,62503,9545
"HER14L","HER14L_2B_182",58.6,1703.75,7.32,1,33372,80258,1.25,37,261,2923,111,2764,425,1593,62273,9264
"HER14L","HER14L_2B_183",58.7,1704.12,7.31,1,33333,81215,1.5,44,288,2403,124,3220,631,1501,62185,9372
"HER14L","HER14L_2B_184",58.8,1704.49,7.31,1,33320,80507,1.66,46,292,2238,88,2960,392,1350,62848,9546
"HER14L","HER14L_2B_185",58.9,1704.87,7.3,1,33438,80185,1.42,42,262,2272,36,2863,581,1358,62529,9394
"HER14L","HER14L_2B_186",59,1705.24,7.31,1,33418,80414,1.34,55,277,1801,103,2928,311,1350,63260,9572
"HER14L","HER14L_2B_187",59.1,1705.61,7.31,1,33364,81327,1.48,66,294,1520,34,2997,557,1623,63325,9351
"HER14L","HER14L_2B_188",59.2,1705.99,7.31,1,33504,79934,1.59,40,307,1576,88,2833,472,1428,62713,9450
"HER14L","HER14L_2B_189",59.3,1706.36,7.31,1,33541,81047,1.6,37,293,1478,122,3014,530,1179,63306,9707
"HER14L","HER14L_2B_190",59.4,1706.73,7.31,1,33514,80364,1.39,66,328,1658,114,2889,491,1428,62955,9523
"HER14L","HER14L_2B_191",59.5,1707.11,7.31,1,33475,79820,1.53,70,299,1885,44,2846,325,1302,62676,9180
"HER14L","HER14L_2B_192",59.6,1707.48,7.3,1,33531,79875,1.44,48,270,2031,94,2698,429,1232,62576,9430
"HER14L","HER14L_2B_193",59.7,1707.86,7.3,1,33574,80195,1.44,34,310,1923,114,2720,581,1359,62849,9484
"HER14L","HER14L_2B_194",59.8,1708.23,7.31,1,33457,79432,1.38,34,273,1966,79,2537,488,1181,62259,9311
"HER14L","HER14L_2B_195",59.9,1708.6,7.3,1,33512,81103,1.47,39,290,2291,16,2673,478,1447,63337,9335
"HER14L","HER14L_2B_196",60,1709.27,7.3,1,33565,80619,1.57,33,329,2028,95,2634,379,1371,63532,9502
"HER14L","HER14L_2B_197",60.1,1709.94,7.3,1,33362,79562,1.41,34,322,2130,174,2123,520,1460,62548,9484
"HER14L","HER14L_2B_198",60.2,1710.6,7.3,1,33350,79745,1.35,75,252,2403,53,2515,424,1110,62414,9396
"HER14L","HER14L_2B_199",60.3,1711.27,7.29,1,33484,79518,1.38,40,275,2431,133,2400,350,1257,62227,9239
"HER14L","HER14L_2B_200",60.4,1711.94,7.3,1,33255,79095,1.48,38,349,1967,114,2882,401,1232,62129,9054
"HER14L","HER14L_2B_201",60.5,1712.61,7.29,1,33177,79871,1.55,42,324,2383,104,2558,517,1463,62303,9286
"HER14L","HER14L_2B_202",60.6,1713.27,7.29,1,33421,80352,1.41,47,325,2708,70,2799,630,1613,62238,8750
"HER14L","HER14L_2B_203",60.7,1713.94,7.28,1,33456,79922,1.53,37,357,2554,43,2785,530,1331,62326,9395
"HER14L","HER14L_2B_204",60.8,1714.61,7.29,1,33435,80775,1.13,37,322,2959,144,2873,515,1220,62315,9230
"HER14L","HER14L_2B_205",60.9,1715.27,7.28,1,33531,81679,1.52,58,289,3456,125,2802,540,1548,62505,9422
"HER14L","HER14L_2B_206",61,1715.94,7.27,1,33533,81152,1.54,39,264,3484,78,2412,454,1331,62601,9639
"HER14L","HER14L_2B_207",61.1,1716.61,7.27,1,33407,80961,1.61,28,283,3801,105,2579,387,1337,62160,9166
"HER14L","HER14L_2B_208",61.2,1717.28,7.28,1,33180,80965,1.36,71,247,2656,60,2602,413,1235,62750,9648
"HER14L","HER14L_2B_209",61.3,1717.94,7.28,1,33307,80317,1.34,33,246,2065,118,2702,560,1205,62759,9454
"HER14L","HER14L_2B_210",61.4,1718.61,7.28,1,32935,80162,1.42,25,235,2836,197,2558,416,1259,61938,9364
"HER14L","HER14L_2B_211",61.5,1719.28,7.28,1,32872,80550,1.21,46,245,3112,143,2382,424,1595,62162,9300
"HER14L","HER14L_2B_212",61.6,1719.95,7.29,1,33062,80225,1.52,64,296,2995,97,2912,282,1416,61773,9198
"HER14L","HER14L_2B_213",61.7,1720.61,7.27,1,33076,80642,1.27,36,298,3395,139,2333,411,1461,61761,9303
"HER14L","HER14L_2B_214",61.8,1721.28,7.25,1,32940,80879,1.57,56,276,3333,74,2601,349,1444,62290,9516
"HER14L","HER14L_2B_215",61.9,1721.95,7.26,1,32937,80064,1.38,47,222,2850,98,2472,439,1326,61897,9541
"HER14L","HER14L_2B_216",62,1722.61,7.28,1,33091,80452,1.51,30,267,2612,76,2641,489,1263,62496,9609
"HER14L","HER14L_2B_217",62.1,1723.28,7.3,1,32844,80278,1.38,49,300,2431,90,2664,380,1507,62245,9448
"HER14L","HER14L_2B_218",62.2,1723.95,7.3,1,32556,79251,1.55,40,347,1830,228,2780,455,1289,61737,9070
"HER14L","HER14L_2B_219",62.3,1724.62,7.29,1,32835,80989,1.23,65,293,2323,131,2667,553,1592,62650,9491
"HER14L","HER14L_2B_220",62.4,1725.28,7.3,1,32922,81688,1.4,51,304,3147,101,2828,662,1415,62167,9653
"HER14L","HER14L_2B_221",62.5,1725.95,7.3,1,33025,80233,1.41,59,303,3302,27,2643,493,1174,61804,9544
"HER14L","HER14L_2B_222",62.6,1726.62,7.29,1,33147,80873,1.38,42,281,3097,126,2725,405,1232,62351,9589
"HER14L","HER14L_2B_223",62.7,1727.28,7.29,1,33151,81215,1.26,61,283,3509,101,2890,496,1265,62523,9512
"HER14L","HER14L_2B_224",62.8,1727.95,7.29,1,32996,81015,1.47,52,316,3128,157,2860,615,1326,62077,9491
"HER14L","HER14L_2B_225",62.9,1728.62,7.28,1,33095,80893,1.35,34,296,3322,82,2813,676,1233,62157,9427
"HER14L","HER14L_2B_226",63,1729.29,7.29,1,32915,81607,1.39,31,272,3747,125,2656,422,1388,61929,9679
"HER14L","HER14L_2B_227",63.1,1729.95,7.28,1,33014,82864,1.38,32,274,4237,149,2722,631,1418,62516,9790
"HER14L","HER14L_2B_228",63.2,1730.62,7.29,1,32941,81388,1.21,77,293,3792,59,2894,615,1229,62106,9531
"HER14L","HER14L_2B_229",63.3,1731.29,7.3,1,33045,81152,1.3,62,310,3359,141,2889,537,1256,62352,9636
"HER14L","HER14L_2B_230",63.4,1731.96,7.31,1,32933,80920,1.23,40,296,3767,55,2776,517,1423,61704,9530
"HER14L","HER14L_2B_231",63.5,1732.62,7.31,1,33140,80024,1.26,53,327,3183,83,2903,334,1161,61479,9594
"HER14L","HER14L_2B_232",63.6,1733.29,7.31,1,33173,81127,1.82,72,336,2860,129,2610,436,1347,62456,9588
"HER14L","HER14L_2B_233",63.7,1733.96,7.31,1,33248,80886,1.65,67,326,3405,30,2935,594,1375,61877,9447
"HER14L","HER14L_2B_234",63.8,1734.62,7.3,1,32991,80227,1.48,38,255,3390,0,2664,357,1249,61742,9159
"HER14L","HER14L_2B_235",63.9,1735.29,7.31,1,33007,80398,1.25,36,260,3872,107,2688,398,1151,61546,9424
"HER14L","HER14L_2B_236",64,1735.96,7.32,1,33015,80751,1.42,51,308,3681,41,2484,561,1293,61982,9220
"HER14L","HER14L_2B_237",64.1,1736.63,7.31,1,33057,81133,1.43,81,403,3674,216,2846,548,1119,61632,9485
"HER14L","HER14L_2B_238",64.2,1737.29,7.31,1,33124,80061,1.41,46,314,3885,87,2845,564,1486,60910,9196
"HER14L","HER14L_2B_239",64.3,1737.96,7.31,1,33217,80812,1.27,59,292,3956,172,3113,482,1210,61040,9163
"HER14L","HER14L_2B_240",64.4,1738.63,7.31,1,33151,82938,1.26,62,267,4577,169,3272,542,1276,62137,9468
"HER14L","HER14L_2B_241",64.5,1739.3,7.31,1,33090,81774,1.51,49,325,4344,107,2998,574,1314,61770,9391
"HER14L","HER14L_2B_242",64.6,1739.96,7.3,1,33020,80290,1.64,60,324,3482,95,2832,494,1184,61826,9205
"HER14L","HER14L_2B_243",64.7,1740.63,7.3,1,33124,80603,1.43,46,297,3629,113,2798,386,1162,61592,9546
"HER14L","HER14L_2B_244",64.8,1741.3,7.31,1,33158,80552,1.43,55,257,4583,118,2729,531,1198,60933,9286
"HER14L","HER14L_2B_245",64.9,1741.96,7.32,1,33198,80509,1.69,61,292,4282,97,2658,438,1205,61514,9295
"HER14L","HER14L_2B_246",65,1742.63,7.32,1,33149,80459,1.36,51,255,4014,145,2600,531,1401,61433,9225
"HER14L","HER14L_2B_247",65.1,1743.3,7.32,1,33005,79892,1.37,51,281,4079,110,2902,472,1164,60737,9055
"HER14L","HER14L_2B_248",65.2,1743.97,7.32,1,32966,80481,1.39,54,302,4825,145,2445,409,1258,60831,9024
"HER14L","HER14L_2B_249",65.3,1744.63,7.33,1,33036,81123,1.69,38,307,5055,22,2676,439,1160,61329,9200
"HER14L","HER14L_2B_250",65.4,1745.3,7.33,1,33049,81872,1.45,18,301,5057,96,2744,334,1549,61492,9279
"HER14L","HER14L_2B_251",65.5,1745.97,7.33,1,33192,81996,1.33,38,295,4694,63,3111,459,1363,61830,9352
"HER14L","HER14L_2B_252",65.6,1746.64,7.33,1,33248,82442,1.34,48,354,5198,92,3323,571,1425,61194,9135
"HER14L","HER14L_2B_253",65.7,1747.3,7.33,1,33380,84018,1.43,48,271,5737,58,3278,620,1349,62255,9201
"HER14L","HER14L_2B_254",65.8,1747.97,7.34,1,33299,83190,1.46,79,327,5736,153,3259,570,1369,61386,9117
"HER14L","HER14L_2B_255",65.9,1748.64,7.34,1,33203,82022,1.3,56,341,4565,114,3319,644,1371,61347,9222
"HER14L","HER14L_2B_256",66,1749.3,7.34,1,33040,80611,1.33,50,295,3423,90,3180,604,1239,61661,9124
"HER14L","HER14L_2B_257",66.1,1749.97,7.34,1,33041,80079,1.3,49,258,3651,122,3120,492,1275,61176,9186
"HER14L","HER14L_2B_258",66.2,1750.64,7.34,1,33040,79692,1.43,57,310,3272,75,3011,397,1054,61214,9296
"HER14L","HER14L_2B_259",66.3,1751.31,7.34,1,32988,80865,1.26,44,288,4378,26,3318,455,1227,60702,9266
"HER14L","HER14L_2B_260",66.4,1751.97,7.34,1,33232,82473,1.56,37,305,5734,0,3349,328,1265,60820,9394
"HER14L","HER14L_2B_261",66.5,1752.64,7.33,1,32954,81426,1.43,75,284,4334,201,3495,514,1378,60804,9273
"HER14L","HER14L_2B_262",66.6,1753.31,7.34,1,33151,82496,1.58,40,307,6509,88,2967,504,1278,60805,9080
"HER14L","HER14L_2B_263",66.7,1753.97,7.33,1,33015,84653,1.73,64,321,8330,53,3091,584,1273,60592,9122
"HER14L","HER14L_2B_264",66.8,1754.64,7.33,1,32728,83512,1.45,47,430,6869,191,2986,609,1480,60374,9267
"HER14L","HER14L_2B_265",66.9,1755.31,7.35,1,32604,80601,1.37,63,305,5802,141,3021,660,1150,59440,8986
"HER14L","HER14L_2B_266",67,1755.98,7.35,1,32434,80276,1.29,51,326,6146,100,3210,573,1486,58813,8829
"HER14L","HER14L_2B_267",67.1,1756.64,7.35,1,32407,79537,1.27,44,300,5260,82,3400,630,1183,58957,8793
"HER14L","HER14L_2B_268",67.2,1757.31,7.34,1,32406,82171,1.26,69,300,6022,149,3556,561,1556,59511,9348
"HER14L","HER14L_2B_269",67.3,1757.98,7.33,1,32541,82237,1.51,61,299,6064,87,3255,566,1532,60034,9284
"HER14L","HER14L_2B_270",67.4,1758.65,7.34,1,32393,82653,1.27,54,359,6455,95,2972,641,1409,60175,9466
"HER14L","HER14L_2B_271",67.5,1759.31,7.35,1,32773,86059,1.27,67,301,9356,131,2965,656,1374,60606,9400
"HER14L","HER14L_2B_272",67.6,1759.98,7.34,1,33130,86430,1.4,70,324,10158,82,2800,672,1239,60904,9213
"HER14L","HER14L_2B_273",67.7,1760.65,7.35,1,33096,84697,1.31,56,303,8142,0,2954,319,1126,61425,9391
"HER14L","HER14L_2B_274",67.8,1761.31,7.36,1,33319,84473,1.39,52,263,6954,49,2846,456,1281,61888,9573
"HER14L","HER14L_2B_275",67.9,1761.98,7.35,1,33615,84344,1.48,55,297,7222,88,2407,315,1226,62458,9525
"HER14L","HER14L_2B_276",68,1762.65,7.36,1,33426,80122,1.38,44,257,2274,144,2201,550,1504,62938,9327
"HER14L","HER14L_2B_277",68.1,1763.32,7.36,1,33375,79314,1.35,15,272,1251,128,1926,407,1386,63549,9444
"HER14L","HER14L_2B_278",68.2,1763.98,7.36,1,33489,78873,1.38,51,260,1729,63,1656,332,1318,63294,9633
