"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","Cl","K","Ca","Ti","Mn","Fe","Co","Ni","Zn","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER42L","HER42L_1E","HER42L_1E_147",171.6,2730.97,7.39,1,28856,71424,1.26,1.65,4.275,1.1,9.175,1,1.2,39.25,2.95,5.8,1.825,82.5,0.975,15.8,1346.125,222.175,62732,6.0588500056262,0.165047822453338,0.0953101798043249,-2.12117221413631,-2.21648239394063
"HER42L","HER42L_1E","HER42L_1E_148",171.7,2731.83,7.39,1,29309,73942,1.22,1.6,4,1.65714285714286,11.8285714285714,1,1.28571428571429,84.3142857142857,4.57142857142857,6.4,2.51428571428571,95.8571428571429,1.68571428571429,14.6571428571429,1575.02857142857,250.657142857143,63899,6.28359740111706,0.159144505315096,0.505094949057006,-1.96542296327889,-2.4705179123359
"HER42L","HER42L_1E","HER42L_1E_149",171.8,2732.68,7.39,1,29448,74313,1.17,0.840579710144927,2.34782608695652,0.652173913043478,6.73913043478261,1,0.579710144927536,29.7536231884058,1.14492753623188,2.40579710144928,0.942028985507246,53.3478260869565,0.855072463768116,12.0289855072464,804.231884057971,130.507246376812,64497,6.1623542476402,0.162275643335976,-0.42744401482694,-2.33537491581704,-1.9079309009901
"HER42L","HER42L_1E","HER42L_1E_150",171.9,2733.54,7.39,1,29821,74242,1.39,0.96969696969697,2.45454545454545,1,6.89393939393939,1,NA,30.3030303030303,0.212121212121212,2.62121212121212,0.681818181818182,56.9848484848485,NA,10.3787878787879,852.393939393939,133.909090909091,65096,6.36546730029418,0.157097657222084,0,-1.93064267692452,-1.93064267692452
"HER42L","HER42L_1E","HER42L_1E_151",172,2734.4,7.4,1,30432,74153,1.31,0.833333333333333,2.58333333333333,0.597222222222222,6.97222222222222,1,0.708333333333333,32.7222222222222,0.319444444444444,1.72222222222222,0.569444444444444,54.75,NA,7.95833333333333,778.555555555556,118.347222222222,64577,6.5785705903063,0.152008705580134,-0.515466003322493,-2.45740000399817,-1.94193400067567
"HER42L","HER42L_1E","HER42L_1E_152",172.1,2735.26,7.4,1,30000,73366,1.31,1.17647058823529,2.61764705882353,0.544117647058823,6.63235294117647,1,0.794117647058823,29.0294117647059,1.26470588235294,3.55882352941176,0.338235294117647,54.1176470588235,NA,8.92647058823529,819.264705882353,124.779411764706,64195,6.56570418385386,0.152306587686232,-0.608589792531882,-2.50054942685845,-1.89195963432657
"HER42L","HER42L_1E","HER42L_1E_153",172.2,2736.11,7.41,1,29056,72609,1.4,0.321782178217822,0.866336633663366,0.346534653465347,2.34158415841584,1,0.52970297029703,14.6930693069307,0.391089108910891,0.871287128712871,0.178217821782178,16.4653465346535,0.504950495049505,1.81683168316832,268.5,41.8069306930693,62682,6.42238010657194,0.155705514685547,-1.05977245535185,-1.91060014644257,-0.850827691090728
"HER42L","HER42L_1E","HER42L_1E_154",172.3,2736.97,7.4,1,29752,72791,1.17,0.922222222222222,1.88888888888889,0.555555555555556,4.53333333333333,1,0.577777777777778,23.6444444444444,0.444444444444444,1.91111111111111,1.21111111111111,38.1222222222222,NA,9.02222222222222,609,92.4333333333333,63129,6.58853227551388,0.151778872468528,-0.587786664902119,-2.09924416897602,-1.5114575040739
"HER42L","HER42L_1E","HER42L_1E_155",172.4,2737.83,7.38,1,30310,73559,1.27,1.36363636363636,3.52727272727273,1.12727272727273,8.70909090909091,1,0.727272727272727,39.4909090909091,1.23636363636364,4.16363636363636,0.454545454545455,60.8,NA,12.2545454545455,1004.41818181818,157.218181818182,63890,6.38868971897768,0.156526618757128,0.119801199812621,-2.04456621236582,-2.16436741217844
"HER42L","HER42L_1E","HER42L_1E_156",172.5,2738.69,7.39,1,28971,70409,1.47,1.03076923076923,2.83076923076923,0.830769230769231,7.44615384615385,1,0.707692307692308,32.4153846153846,0.353846153846154,2.01538461538462,0.938461538461538,47.1384615384615,NA,6.12307692307692,823.492307692308,128.938461538462,61908,6.38670803006801,0.15657518635455,-0.185403223331363,-2.19310086015236,-2.00769763682099
