SITE,SECTION_ID,MSCL_ID,RCT,SB_DEPTH,SECT_NUM,SECT_DEPTH,Field_depth,Strat_depth,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,Accum_rate,CT,PWAmp_SAT,PWVel_SAT,Den1_SAT,MS1_SAT,DCMS1_SAT,Imp_SAT,FP_SAT,RES_SAT,PWAmp_UNSAT,PWVel_UNSAT,Den1_UNSAT,MS1_UNSAT,DCMS1_UNSAT,Imp_UNSAT,FP_UNSAT,RES_UNSAT,PWAmp_SAT_UNSAT,PWVel_SAT_UNSAT,Den1_SAT_UNSAT,MS1_SAT_UNSAT,DCMS1_SAT_UNSAT,Imp_SAT_UNSAT,FP_SAT_UNSAT,RES_SAT_UNSAT,WMAR_SAT,WMAR_UNSAT,WMAR_Mean
HER14L,HER14L_2A,HER14L-2A_21,2.9,62.5,1,62.5,2,2,144.43,238.21,191.61,191.35,0.013947001,1.716,0,991.9077,0.892,-0.5,-0.6,884.8167,1.0654,1.0356,0,991.9077,2.0365,-0.5,-0.2,2019.991,0.3718,1.0356,0,991.9,1.4643,-0.5,-0.4,1452.4,0.7,1,0.012440725,0.028403068,0.020421897
HER14L,HER14L_2A,HER14L-2A_22,2.9,62.6,1,62.6,2.1,2.1,152.08,244.92,198.8,198.52,0.013947001,1.799,0,1164.402,0.8429,-0.5,-0.6,981.4698,1.0952,1.063,0,1164.402,1.9365,-0.5,-0.3,2254.898,0.4324,1.063,0,1164.4,1.3897,-0.5,-0.4,1618.2,0.8,1.1,0.011755927,0.027008368,0.019382148
HER14L,HER14L_2A,HER14L-2A_23,2.9,62.7,1,62.7,2.2,2.2,160,251.47,206.04,205.69,0.01396648,1.825,0,1051.873,0.8376,-0.4,-0.5,881.0828,1.0984,1.063,0,1051.873,1.914,-0.4,-0.2,2013.282,0.4461,1.063,0,1051.9,1.3758,-0.4,-0.3,1447.2,0.8,1.1,0.011698324,0.026731844,0.019215084
HER14L,HER14L_2A,HER14L-2A_24,2.9,62.8,1,62.8,2.3,2.3,167.51,258.39,213.12,212.85,0.013947001,1.827,0,1071.554,0.8889,-0.3,-0.3,952.5423,1.0673,1.0356,0,1071.554,1.951,-0.3,-0.2,2090.559,0.4237,1.0356,0,1071.6,1.42,-0.3,-0.2,1521.6,0.7,1,0.01239749,0.0272106,0.019804045
HER14L,HER14L_2A,HER14L-2A_25,2.9,62.9,1,62.9,2.4,2.4,175,265.39,220.17,220.02,0.013947001,1.768,0,1036.95,0.8763,-0.5,-0.6,908.6575,1.075,1.063,0,1036.95,1.9844,-0.5,-0.3,2057.751,0.4034,1.063,0,1037,1.4304,-0.5,-0.4,1483.2,0.7,1.1,0.012221757,0.02767643,0.019949093
HER14L,HER14L_2A,HER14L-2A_26,2.9,63,1,63,2.5,2.5,182.48,272.6,227.3,227.19,0.013947001,1.641,0,985.5859,0.9884,-0.4,-0.4,974.1685,1.007,1.063,0,985.5859,2.1711,-0.4,-0.2,2139.844,0.2902,1.063,0,985.6,1.5798,-0.4,-0.3,1557,0.6,1.1,0.013785216,0.030280335,0.022032775
HER14L,HER14L_2A,HER14L-2A_27,2.9,63.1,1,63.1,2.6,2.6,189.98,279.88,234.42,234.36,0.013947001,1.608,0,1014.511,1.0283,-0.5,-0.5,1043.215,0.9829,1.0356,0,1014.511,2.2303,-0.5,-0.2,2262.674,0.2544,1.0356,0,1014.5,1.6293,-0.5,-0.4,1652.9,0.6,1,0.014341702,0.031105997,0.022723849
HER14L,HER14L_2A,HER14L-2A_28,2.9,63.2,1,63.2,2.7,2.7,197.54,286.96,241.62,241.53,0.013947001,1.666,0,1028.395,0.9287,-0.5,-0.5,955.0609,1.0432,1.0356,0,1028.395,2.105,-0.5,-0.2,2164.765,0.3303,1.0356,0,1028.4,1.5169,-0.5,-0.4,1559.9,0.7,1,0.01295258,0.029358438,0.021155509
HER14L,HER14L_2A,HER14L-2A_29,2.9,63.3,1,63.3,2.8,2.8,204.47,293.48,248.88,248.7,0.013947001,1.702,0,1098.065,1.0076,-0.4,-0.4,1106.445,0.9954,1.0096,0,1098.065,2.134,-0.4,-0.2,2343.295,0.3127,1.0096,0,1098.1,1.5708,-0.4,-0.3,1724.9,0.7,1,0.014052999,0.029762901,0.02190795
HER14L,HER14L_2A,HER14L-2A_30,2.9,63.4,1,63.4,2.9,2.9,211.81,300.78,256.02,255.87,0.013947001,1.724,0,1064.198,0.9287,-0.4,-0.4,988.3331,1.0432,0.9848,0,1064.198,2.0576,-0.4,-0.2,2189.654,0.3591,0.9848,0,1064.2,1.4932,-0.4,-0.3,1589,0.7,1,0.01295258,0.02869735,0.020824965
