"Site","label","depth","mean_age","GRD","DCMS","K","Ca","Lncoh_inc"
"HER14L_0ka","HER14L_2B",57,1.69307,0.8758,-2.3,NA,NA,NA
"HER14L_0ka","HER14L_2B",57.2,1.69386,0.8604,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2B",57.4,1.69465,0.8225,-2.3,NA,NA,NA
"HER14L_0ka","HER14L_2B",57.6,1.69544,0.8538,-2.3,NA,NA,NA
"HER14L_0ka","HER14L_2B",57.8,1.69623,0.8826,-2.2,NA,NA,NA
"HER14L_0ka","HER14L_2B",58,1.69701,0.8922,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2B",58.2,1.6978,0.8249,-2.2,NA,NA,NA
"HER14L_0ka","HER14L_2B",58.4,1.69859,0.8771,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2B",58.6,1.69938,0.8993,-2,NA,NA,NA
"HER14L_0ka","HER14L_2B",58.8,1.70017,0.9301,-2,NA,NA,NA
"HER14L_0ka","HER14L_2B",59,1.70095,0.8526,-2.3,NA,NA,NA
"HER14L_0ka","HER14L_2B",59.2,1.70174,0.8898,-2,NA,NA,NA
"HER14L_0ka","HER14L_2B",59.4,1.70253,0.9098,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2B",59.6,1.70332,0.8794,-2.2,NA,NA,NA
"HER14L_0ka","HER14L_2B",59.8,1.7041,0.8894,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2B",60,1.70489,0.8491,-2.2,NA,NA,NA
"HER14L_0ka","HER14L_2B",60.2,1.70628,0.8236,-2.2,NA,NA,NA
"HER14L_0ka","HER14L_2B",60.4,1.70766,0.7959,-2.3,NA,NA,NA
"HER14L_0ka","HER14L_2B",60.6,1.70904,0.857,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2B",60.8,1.71042,0.9672,-2,NA,NA,NA
"HER14L_0ka","HER14L_2B",61,1.71181,0.8504,-2.4,NA,NA,NA
"HER14L_0ka","HER14L_2B",61.2,1.71319,0.9695,-2,NA,NA,NA
"HER14L_0ka","HER14L_2B",61.4,1.71457,1.0034,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2B",61.6,1.71596,0.9617,-2,NA,NA,NA
"HER14L_0ka","HER14L_2B",61.8,1.71734,0.877,-2.2,NA,NA,NA
"HER14L_0ka","HER14L_2B",62,1.71872,0.8824,-2.3,NA,NA,NA
